task_id	chrom	start	end	iteration	h2_incremental
1585	2	43004984	43005830	1	0.210011669359279
1585	2	43004984	43005830	2	0.000819160899794826
1585	2	43004984	43005830	3	5.26659245161005e-06
1585	2	43004984	43005830	4	3.17444385112579e-05
1585	2	43004984	43005830	5	0.00655783661358534
1585	2	43004984	43005830	6	6.1266802087814e-07
1585	2	43004984	43005830	7	1.79612000720158e-06
1585	2	43004984	43005830	8	0
1585	2	43004984	43005830	9	0.00128709055390772
1585	2	43004984	43005830	10	2.69468092462529e-05
1585	2	43004984	43005830	11	7.81282484283298e-05
1585	2	43004984	43005830	12	0
1585	2	43004984	43005830	13	1.19511624361842e-06
1585	2	43004984	43005830	14	0
