task_id	chrom	start	end	iteration	h2_incremental
2114	3	195255539	195255783	1	0.221494597686425
2114	3	195255539	195255783	2	0.0135011361218015
2114	3	195255539	195255783	3	0.000452121914686028
2114	3	195255539	195255783	4	0.0047044325322846
2114	3	195255539	195255783	5	0.00367893435832695
2114	3	195255539	195255783	6	1.2093650036924e-05
2114	3	195255539	195255783	7	5.20115783273626e-07
2114	3	195255539	195255783	8	2.40933824701657e-05
2114	3	195255539	195255783	9	0
2114	3	195255539	195255783	10	0
2114	3	195255539	195255783	11	0
