task_id	chrom	start	end	iteration	h2_incremental
4453	7	39130864	39131454	1	0.215325812743096
4453	7	39130864	39131454	2	0.0202582164784935
4453	7	39130864	39131454	3	0.0015001186442078
4453	7	39130864	39131454	4	0.00162498113008337
4453	7	39130864	39131454	5	3.84988498960719e-05
4453	7	39130864	39131454	6	5.68977546944686e-06
4453	7	39130864	39131454	7	0
4453	7	39130864	39131454	8	0
4453	7	39130864	39131454	9	0
4453	7	39130864	39131454	10	0.000203808498387731
4453	7	39130864	39131454	11	1.77571300999828e-05
