task_id	chrom	start	end	iteration	h2_incremental
1119	2	135404619	135405772	1	0.0657725706347058
1119	2	135404619	135405772	2	0
1119	2	135404619	135405772	3	9.1834141781005e-08
1119	2	135404619	135405772	4	0
1119	2	135404619	135405772	5	0.00167479612037852
1119	2	135404619	135405772	6	0
1119	2	135404619	135405772	7	0
1119	2	135404619	135405772	8	0.0016422889045173
1119	2	135404619	135405772	9	0
1119	2	135404619	135405772	10	0
1119	2	135404619	135405772	11	0
1119	2	135404619	135405772	12	0
1119	2	135404619	135405772	13	0
