task_id	chrom	start	end	iteration	h2_incremental
2278	3	56895173	56896026	1	0.324615113673328
2278	3	56895173	56896026	2	0.000134198324666503
2278	3	56895173	56896026	3	0
2278	3	56895173	56896026	4	3.18961201860736e-05
2278	3	56895173	56896026	5	5.84831900878007e-07
2278	3	56895173	56896026	6	0.000409331182393245
2278	3	56895173	56896026	7	9.87942682617771e-06
2278	3	56895173	56896026	8	2.80807641698491e-07
2278	3	56895173	56896026	9	3.95555000156404e-05
2278	3	56895173	56896026	10	2.73688217224888e-06
2278	3	56895173	56896026	11	0
