task_id	chrom	start	end	iteration	h2_incremental
94	1	12690775	12690852	1	0.150047160774931
94	1	12690775	12690852	2	3.91183812740494e-05
94	1	12690775	12690852	3	1.89516373504816e-06
94	1	12690775	12690852	4	8.08489482098625e-06
94	1	12690775	12690852	5	0.000157135306945107
94	1	12690775	12690852	6	0
94	1	12690775	12690852	7	0.000516963428346642
94	1	12690775	12690852	8	9.74690120877053e-05
94	1	12690775	12690852	9	2.11718339958757e-05
94	1	12690775	12690852	10	5.93640131597896e-06
94	1	12690775	12690852	11	0
94	1	12690775	12690852	12	1.23683734173714e-05
