task_id	chrom	start	end	iteration	h2_incremental
495	1	25184811	25185622	1	0.28866751894542
495	1	25184811	25185622	2	0.00278488059315203
495	1	25184811	25185622	3	0.000175629496889053
495	1	25184811	25185622	4	6.70093766327243e-06
495	1	25184811	25185622	5	0
495	1	25184811	25185622	6	0.00021531406318556
495	1	25184811	25185622	7	6.6622093349772e-06
495	1	25184811	25185622	8	0
495	1	25184811	25185622	9	0
495	1	25184811	25185622	10	1.27533638518434e-06
495	1	25184811	25185622	11	0.000122452933273787
