task_id	chrom	start	end	iteration	h2_incremental
1084	2	128191512	128192171	1	0.157765343399547
1084	2	128191512	128192171	2	0.00569580446831544
1084	2	128191512	128192171	3	1.21189254231718e-05
1084	2	128191512	128192171	4	0
1084	2	128191512	128192171	5	0
1084	2	128191512	128192171	6	0.000160903802496566
1084	2	128191512	128192171	7	0
1084	2	128191512	128192171	8	9.47892565723291e-06
1084	2	128191512	128192171	9	0.000170969038203556
1084	2	128191512	128192171	10	4.54264803380979e-05
1084	2	128191512	128192171	11	0
