task_id	chrom	start	end	iteration	h2_incremental
3633	6	157900337	157901352	1	0.123567527408155
3633	6	157900337	157901352	2	0.000326244012022586
3633	6	157900337	157901352	3	0.00198710228977153
3633	6	157900337	157901352	4	0.000230595030611543
3633	6	157900337	157901352	5	5.08489216674033e-07
3633	6	157900337	157901352	6	0.00246168196866587
3633	6	157900337	157901352	7	0.00778437953013728
3633	6	157900337	157901352	8	1.9576419166438e-07
3633	6	157900337	157901352	9	0
3633	6	157900337	157901352	10	0
3633	6	157900337	157901352	11	5.73453937756072e-05
3633	6	157900337	157901352	12	0
