task_id	chrom	start	end	iteration	h2_incremental
963	2	100604214	100605850	1	0.262574571563018
963	2	100604214	100605850	2	0.00473044555106943
963	2	100604214	100605850	3	0.000758032866138494
963	2	100604214	100605850	4	5.59332921598705e-06
963	2	100604214	100605850	5	1.01537234062174e-06
963	2	100604214	100605850	6	2.17881036603098e-06
963	2	100604214	100605850	7	0.00026829029449211
963	2	100604214	100605850	8	1.5375529269764e-07
963	2	100604214	100605850	9	0
963	2	100604214	100605850	10	9.56529276857758e-06
963	2	100604214	100605850	11	0
963	2	100604214	100605850	12	0
